BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,Properties,Seats,TransmissionTypeText
bordeaux,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Allrad,7,2003,Benzin,280,195.0,schwarz,35200,MITSUBISHI,LANCER,"\"Ab MFK\"",5,Schaltgetriebe manuell
grau mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,9,2006,Benzin,612,348.0,grau,130000,MERCEDES-BENZ,S 65 AMG,"\"Ab MFK\"",5,Automat sequentiell
grün mét.,Cabriolet,5935,Zuzwil,388 g/km,Occasion,G,16.4 l/100km,2,Hinterradantrieb,4,2010,Benzin,517,393.0,schwarz,71300,ASTON MARTIN,DBS,"\"Ab MFK\"",2,Automat sequentiell
schwarz mét.,Coupé,2568,Zuzwil,null,Occasion,null,null,2,Allrad,1,2002,Benzin,800,703.0,null,15000,NISSAN,Skyline,"\"Tuning\"",2,Schaltgetriebe
silber mét.,SUV / Geländewagen,4999,Zuzwil,348 g/km,Occasion,G,14.9 l/100km,5,Allrad,10,2010,Benzin,510,886.0,schwarz,9000,LAND ROVER,RANGE ROVER,"\"Ab MFK\"",5,Automat
silber mét.,Coupé,2962,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1992,Benzin,250,897.0,anthrazit,71600,RENAULT,ALPINE,"\"Ab MFK\"",4,Schaltgetriebe manuell
blau mét.,Cabriolet,4398,Zuzwil,306 g/km,Occasion,G,12.8 l/100km,2,Hinterradantrieb,4,2007,Benzin,500,158.0,beige,66800,BMW-ALPINA,6 SERIES,"\"Ab MFK\"",4,Automat
schwarz,Cabriolet,3199,Zuzwil,317 g/km,Occasion,null,13.4 l/100km,2,Hinterradantrieb,1,1999,Benzin,231,556.0,schwarz,70900,MERCEDES-BENZ,SL 320,"\"Ab MFK\"",2,Automat
schwarz mét.,Kombi,2976,Zuzwil,233 g/km,Occasion,null,9.7 l/100km,5,Vorderradantrieb,8,2002,Benzin,220,783.0,schwarz,101900,AUDI,A4,"\"Ab MFK\"",5,Automatik-Getriebe
silber mét.,Cabriolet,6761,Zuzwil,456 g/km,Occasion,G,17.8 l/100km,2,Hinterradantrieb,6,2002,Benzin,329,913.0,beige,42000,ROLLS-ROYCE,CORNICHE,"\"Ab MFK\"",4,Automat
weiss,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,9,2003,Benzin,335,1084.0,beige,101300,AUDI,A8,"\"Ab MFK\"",5,Automat sequentiell
