carType,city,color,condition,country,currency,drive,fuel_consumption_unit,make,manufacture_month,manufacture_year,mileage,mileage_unit,modal,modal_variant,price_on_request,targetData,target_city,target_color,target_make,type,zip
"",Zuzwil,Black,"","","","","",Mg,"","",0,"",METRO,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Cabriolet,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",CAYENNE,SUV / Geländewagen,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",CAYENNE,SUV / Geländewagen,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",CAYENNE,SUV / Geländewagen,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Cabriolet,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Cabriolet,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Cabriolet,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",CAYENNE,SUV / Geländewagen,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",CAYENNE,SUV / Geländewagen,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Cabriolet,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Cabriolet,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Cabriolet,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",CAYENNE,SUV / Geländewagen,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,Black,"","","","","",Porsche,"","",0,"",911,Coupé,false,Match,Zuzwil,Black,Porsche,car,""
"",Zuzwil,White,"","","","","",Triumph,"","",0,"",Dolomite,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS6,Kombi,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS6,Kombi,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",S8,Limousine,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS6,Kombi,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",TT,Cabriolet,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS6,Kombi,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS4,Limousine,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS6,Kombi,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",A8,Limousine,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",QUATTRO,Coupé,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",A6,Limousine,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",R8,Cabriolet,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS6,Kombi,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",A8,Limousine,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS6,Kombi,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",S7,Limousine,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS4,Limousine,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",A8,Limousine,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS6,Kombi,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Silver,"","","","","",Audi,"","",0,"",RS6,Kombi,false,Match,Zuzwil,Silver,Audi,car,""
"",Zuzwil,Yellow,"","","","","",Bentley,"","",0,"",CONTINENTAL,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Yellow,"","","","","",Toyota,"","",0,"",MR2,Coupé,false,Match,Zuzwil,Yellow,Toyota,car,""
"",Zuzwil,Violet,"","","","","",Jaguar,"","",0,"","",Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Jeep,"","",0,"",Grand Cherokee,SUV / Geländewagen,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Jeep,"","",0,"",Grand Cherokee,SUV / Geländewagen,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Jeep,"","",0,"",Grand Cherokee,SUV / Geländewagen,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Mercedes-Benz,"","",0,"",ML 400,SUV / Geländewagen,false,Match,Zuzwil,Silver,Mercedes-Benz,car,""
