ID,MakeText,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
405.0,FERRARI,MONDIAL,grün mét.,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,braun,56500,4,Schaltgetriebe manuell,grün,null,""
451.0,DODGE,VIPER,rot,Cabriolet,7990,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,12,2001,Benzin,800,schwarz,18600,2,Schaltgetriebe,red,null,""
615.0,LAMBORGHINI,DIABLO,schwarz mét.,Coupé,5707,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,2000,Benzin,492,schwarz,20600,2,Schaltgetriebe manuell,black,null,""
62.0,PORSCHE,911,blau,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,12,2002,Benzin,462,schwarz,61300,4,Schaltgetriebe manuell,blue,12.9,l/100km
83.0,MERCEDES-BENZ,CL 500,blau,Coupé,5461,Zuzwil,288 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,9,2006,Benzin,388,schwarz,15100,4,Automat sequentiell,blue,12.3,l/100km
904.0,RENAULT,ALPINE,silber mét.,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1981,Benzin,150,grau,139200,4,Schaltgetriebe manuell,silver,null,""
907.0,MERCEDES-BENZ,CL 55 AMG,silber mét.,Coupé,5439,Zuzwil,317 g/km,Occasion,G,13.2 l/100km,2,Hinterradantrieb,11,2002,Benzin,500,schwarz,48300,4,Automat,silver,13.2,l/100km
949.0,FORD,"",silber mét.,Coupé,2100,Zuzwil,null,Occasion,null,null,2,Allrad,8,1986,Benzin,600,null,1000,2,Schaltgetriebe,silver,null,""
131.0,MERCEDES-BENZ,S 55 AMG,blau mét.,Limousine,5439,Zuzwil,310 g/km,Occasion,G,13.0 l/100km,4,Hinterradantrieb,2,1999,Benzin,360,schwarz,96500,5,Automat,blue,13.0,l/100km
168.0,SUBARU,IMPREZA,blau mét.,Limousine,2457,Zuzwil,244 g/km,Occasion,G,10.3 l/100km,4,Allrad,4,2006,Benzin,230,schwarz,161500,5,Schaltgetriebe manuell,blue,10.3,l/100km
542.0,MERCEDES-BENZ,CLS 63 AMG,schwarz,Limousine,5461,Zuzwil,231 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2011,Benzin,525,beige,69200,4,Automatisiertes Schaltgetriebe,black,9.9,l/100km
603.0,CHEVROLET,CORVETTE,schwarz mét.,Cabriolet,5730,Zuzwil,null,Occasion,null,13.1 l/100km,2,Hinterradantrieb,7,1994,Benzin,282,schwarz,68200,2,Automat,black,13.1,l/100km
682.0,MERCEDES-BENZ,SL 55 AMG,schwarz mét.,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,4,2002,Benzin,476,beige,31200,2,Automat,black,14.2,l/100km
726.0,PORSCHE,911,schwarz mét.,Cabriolet,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,4,2008,Benzin,480,braun,35500,2,Schaltgetriebe manuell,black,12.9,l/100km
1054.0,MERCEDES-BENZ,SL 500,silber mét.,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,schwarz,27600,0,Automat,silver,14.3,l/100km
25.0,AUDI,RS6,anthrazit mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,6,2008,Benzin,580,schwarz,32800,5,Automat sequentiell,anthrazit,14.0,l/100km
342.0,PORSCHE,BOXSTER,grau mét.,Cabriolet,3179,Zuzwil,263 g/km,Occasion,G,10.7 l/100km,2,Hinterradantrieb,7,2000,Benzin,252,schwarz,51000,2,Schaltgetriebe manuell,grey,10.7,l/100km
395.0,LEXUS,GS,grün mét.,Limousine,3456,Zuzwil,186 g/km,Occasion,F,7.9 l/100km,4,Hinterradantrieb,7,2006,Benzin/Elektro,296,schwarz,34000,5,Automat stufenlos,grün,7.9,l/100km
1100.0,MERCEDES-BENZ,S 500,weiss,Limousine,5461,Zuzwil,296 g/km,Occasion,G,12.6 l/100km,4,Allrad,11,2006,Benzin,388,schwarz,62300,5,Automat sequentiell,white,12.6,l/100km
195.0,MITSUBISHI,LANCER,bordeaux,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Allrad,7,2003,Benzin,280,schwarz,35200,5,Schaltgetriebe manuell,bordeaux,null,""
348.0,MERCEDES-BENZ,S 65 AMG,grau mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,9,2006,Benzin,612,grau,130000,5,Automat sequentiell,grey,14.8,l/100km
393.0,ASTON MARTIN,DBS,grün mét.,Cabriolet,5935,Zuzwil,388 g/km,Occasion,G,16.4 l/100km,2,Hinterradantrieb,4,2010,Benzin,517,schwarz,71300,2,Automat sequentiell,grün,16.4,l/100km
703.0,NISSAN,Skyline,schwarz mét.,Coupé,2568,Zuzwil,null,Occasion,null,null,2,Allrad,1,2002,Benzin,800,null,15000,2,Schaltgetriebe,black,null,""
886.0,LAND ROVER,RANGE ROVER,silber mét.,SUV / Geländewagen,4999,Zuzwil,348 g/km,Occasion,G,14.9 l/100km,5,Allrad,10,2010,Benzin,510,schwarz,9000,5,Automat,silver,14.9,l/100km
897.0,RENAULT,ALPINE,silber mét.,Coupé,2962,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1992,Benzin,250,anthrazit,71600,4,Schaltgetriebe manuell,silver,null,""
158.0,BMW-ALPINA,6 SERIES,blau mét.,Cabriolet,4398,Zuzwil,306 g/km,Occasion,G,12.8 l/100km,2,Hinterradantrieb,4,2007,Benzin,500,beige,66800,4,Automat,blue,12.8,l/100km
556.0,MERCEDES-BENZ,SL 320,schwarz,Cabriolet,3199,Zuzwil,317 g/km,Occasion,null,13.4 l/100km,2,Hinterradantrieb,1,1999,Benzin,231,schwarz,70900,2,Automat,black,13.4,l/100km
783.0,AUDI,A4,schwarz mét.,Kombi,2976,Zuzwil,233 g/km,Occasion,null,9.7 l/100km,5,Vorderradantrieb,8,2002,Benzin,220,schwarz,101900,5,Automatik-Getriebe,black,9.7,l/100km
913.0,ROLLS-ROYCE,CORNICHE,silber mét.,Cabriolet,6761,Zuzwil,456 g/km,Occasion,G,17.8 l/100km,2,Hinterradantrieb,6,2002,Benzin,329,beige,42000,4,Automat,silver,17.8,l/100km
1084.0,AUDI,A8,weiss,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,9,2003,Benzin,335,beige,101300,5,Automat sequentiell,white,12.0,l/100km
