ID,ModelText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,BodyColorText,MakeText,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
25.0,RS6,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,6,2008,Benzin,580,schwarz,32800,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell,Blue,Audi,14.0,l/100km
342.0,BOXSTER,Cabriolet,3179,Zuzwil,263 g/km,Occasion,G,10.7 l/100km,2,Hinterradantrieb,7,2000,Benzin,252,schwarz,51000,"\"Ab MFK\"",2,Schaltgetriebe manuell,Gray,Porsche,10.7,l/100km
395.0,GS,Limousine,3456,Zuzwil,186 g/km,Occasion,F,7.9 l/100km,4,Hinterradantrieb,7,2006,Benzin/Elektro,296,schwarz,34000,"\"Ab MFK\"",5,Automat stufenlos,Other,Lexus,7.9,l/100km
1100.0,S 500,Limousine,5461,Zuzwil,296 g/km,Occasion,G,12.6 l/100km,4,Allrad,11,2006,Benzin,388,schwarz,62300,"\"Ab MFK\"",5,Automat sequentiell,White,Mercedes-Benz,12.6,l/100km
195.0,LANCER,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Allrad,7,2003,Benzin,280,schwarz,35200,"\"Ab MFK\"",5,Schaltgetriebe manuell,Other,Mitsubishi,null,""
348.0,S 65 AMG,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,9,2006,Benzin,612,grau,130000,"\"Ab MFK\"",5,Automat sequentiell,Gray,Mercedes-Benz,14.8,l/100km
393.0,DBS,Cabriolet,5935,Zuzwil,388 g/km,Occasion,G,16.4 l/100km,2,Hinterradantrieb,4,2010,Benzin,517,schwarz,71300,"\"Ab MFK\"",2,Automat sequentiell,Other,Aston Martin,16.4,l/100km
703.0,Skyline,Coupé,2568,Zuzwil,null,Occasion,null,null,2,Allrad,1,2002,Benzin,800,null,15000,"\"Tuning\"",2,Schaltgetriebe,Black,Nissan,null,""
886.0,RANGE ROVER,SUV / Geländewagen,4999,Zuzwil,348 g/km,Occasion,G,14.9 l/100km,5,Allrad,10,2010,Benzin,510,schwarz,9000,"\"Ab MFK\"",5,Automat,Silver,Land Rover,14.9,l/100km
897.0,ALPINE,Coupé,2962,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1992,Benzin,250,anthrazit,71600,"\"Ab MFK\"",4,Schaltgetriebe manuell,Silver,Renault,null,""
